name,hostname,borough,neighbourhood,roomtype,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
Private bedroom and bathroom in Brooklyn,Rosa,Brooklyn,Park Slope,Private room,160,30,25,1,363
Family-Friendly Artist Loft in West Village,Jesse,Manhattan,West Village,Entire home/apt,110,6,1,2,0
"Sunny, Bright, Vibrant Apartment in Williamsburg!",Harmon,Brooklyn,Williamsburg,Entire home/apt,200,7,0,1,345
Great 1BR apartment in a convenient location,Tom,Queens,Long Island City,Entire home/apt,138,1,4,1,41
Room in Chelsea New York,Tamara,Manhattan,Chelsea,Private room,90,3,5,1,0
"Private Room in Brooklyn, NY",Cristie,Brooklyn,Prospect-Lefferts Gardens,Private room,45,30,21,1,21
Bright open space in Sunset Park,Anastasia,Brooklyn,Sunset Park,Entire home/apt,80,30,18,1,161
Perfectly situated williamsburg apt,Ben,Brooklyn,Williamsburg,Private room,70,10,0,1,365
Charming private room & sunny deck!,Jennifer,Brooklyn,Bedford-Stuyvesant,Private room,72,7,41,1,68
Comfy room in vibrant East Village,Brooke & Terry,Manhattan,East Village,Private room,95,14,172,1,14
Private Room Private Restroom tons Natural Light,Aurelio,Brooklyn,Bedford-Stuyvesant,Private room,75,5,13,1,3
Fully furnished private apartment..,Gabor,Queens,Astoria,Entire home/apt,70,20,75,1,364
"Spacious, amenity-filled 1 BDR Williamsburg Apt",Elizabeth,Brooklyn,Williamsburg,Entire home/apt,160,6,1,1,0
"Central, Peaceful Semi-Private Room",Tangier,Brooklyn,Flatbush,Shared room,29,2,5,1,321
Comfy Park Slope 1 BR Apt Near Prospect Park,Linda,Brooklyn,South Slope,Entire home/apt,175,3,62,1,213
Great  Room in Astoria - New York,Ernesto,Queens,Astoria,Private room,75,6,0,1,180
Bright Rm avail in heart of Village,Leah,Manhattan,Greenwich Village,Private room,110,3,7,1,0
Gorgeous sky-lit 2BR,Jean & Gabriel,Brooklyn,Williamsburg,Entire home/apt,175,3,199,1,272
"Columbus Circle Comfort, minutes from Times Square",Brent,Manhattan,Hell's Kitchen,Private room,99,1,123,2,245
Private bedroom + private bathroom,Brian,Manhattan,Inwood,Private room,100,2,7,1,36
The Lavender Suite on Greene,Kamaya,Brooklyn,Bedford-Stuyvesant,Entire home/apt,144,5,3,1,0
Brooklyn College Manor,Mark,Brooklyn,Flatbush,Entire home/apt,171,2,34,3,243
W80's Renovated with Chef's Kitchen,Karen,Manhattan,Upper West Side,Entire home/apt,99,30,23,8,89
Gorgeous West Village Hidden Gem,Roxanne,Manhattan,West Village,Entire home/apt,270,1,4,1,0
True Two Bedroom Apartment in Lower Manhattan,Arielle,Manhattan,Lower East Side,Entire home/apt,160,3,220,1,24
Spacious very High ceiling place !,Celin,Manhattan,Harlem,Private room,65,7,40,1,64
Cozy & Private 1 Bedroom Garden Level Apartment,Geraldine,Brooklyn,Bedford-Stuyvesant,Entire home/apt,99,3,208,1,206
Artsy Harlem Guest Space,Laura,Manhattan,Harlem,Entire home/apt,125,3,232,1,47
Saratoga Park Suite,Aqila,Brooklyn,Bedford-Stuyvesant,Private room,72,3,0,1,365
Spacious Duplex in Fun & Hip Area,Eric,Brooklyn,Crown Heights,Entire home/apt,300,2,16,2,41
Large Room In Newly Renovated Hell's Kitchen Apt.,Ron,Manhattan,Hell's Kitchen,Private room,112,1,196,1,71
New Law in New York | NO  rentals under 30 days..,Lancelot,Brooklyn,Carroll Gardens,Entire home/apt,100,30,4,1,321
"1Bedroom, Seconds from L train",Liam,Brooklyn,Bushwick,Private room,60,2,64,2,87
Spacious Loft in East Village,Henry,Manhattan,East Village,Entire home/apt,232,10,2,1,234
Room in Colourful Williamsburg Apartment,Elena,Brooklyn,Williamsburg,Private room,138,1,0,1,29
Cozy 1BD in Vibrant East Village,Donna,Manhattan,East Village,Entire home/apt,140,2,149,1,16
Beautiful 1 Bedroom in Nolita/Soho ,Jessica,Manhattan,Nolita,Entire home/apt,5000,1,2,1,365
Beautiful Brooklyn Brownstone Apt,Zachary,Brooklyn,Bedford-Stuyvesant,Entire home/apt,168,2,1,1,0
Cozy Studio in Flatbush,,Brooklyn,Flatbush,Entire home/apt,100,30,49,1,342
"A beautiful, and quiet place to stay in NYC!!!",Marjorie,Queens,Bellerose,Shared room,150,2,0,1,365
Studio Apt in the heart of Bushwick,Alonzo,Brooklyn,Bushwick,Entire home/apt,95,4,21,1,98
One Bedroom Apt Near Central Park,Abigail,Manhattan,Morningside Heights,Entire home/apt,175,2,1,1,0
"Modern, cozy artist's escape in WV",Mark,Manhattan,West Village,Entire home/apt,220,2,13,1,3
Monthly Rental or more than 30 days for 6 people,Thomas,Manhattan,Upper West Side,Entire home/apt,178,32,132,1,211
sunny beautiful studio apartment,Dee,Brooklyn,Crown Heights,Entire home/apt,85,2,67,1,8
Room in My Apt. Rego Park Queens NY,King,Queens,Rego Park,Private room,35,4,76,1,5
Lovely Factory Loft in Greenpoint!,Vida,Brooklyn,Greenpoint,Entire home/apt,129,30,6,52,277
3B. Private  Rm in Guesthouse Manhattan,Bobi,Manhattan,East Harlem,Private room,55,1,167,10,363
Zen Supersized Master Suite,Jenny,Brooklyn,Flatbush,Private room,69,4,34,3,68
"Cozy, quiet single room in Brooklyn brownstone",Chantille & Linda,Brooklyn,Prospect Heights,Private room,68,3,11,2,187
Private Bedroom WITH a Living room!,Gya,Brooklyn,Crown Heights,Private room,69,2,90,1,186
Great Apt/Roof in Hells Kitchen,Jorion,Manhattan,Hell's Kitchen,Entire home/apt,300,2,23,1,365
Historic Townhouse with Private Backyard,Raymond,Manhattan,Harlem,Entire home/apt,175,1,152,3,248
JFK Jupiter Suites w/ Parking,Enyinne,Queens,St. Albans,Private room,59,1,190,5,359
Jupiter Suites- Rm #1 (JFK),Enyinne,Queens,St. Albans,Private room,59,1,19,5,359
ALL YOU NEED!! HK/TIME SQ./THEATER (READ REVIEWS),Ty,Manhattan,Theater District,Private room,169,2,33,2,340
Bright Apartment In Williamsburg,Jp,Brooklyn,Williamsburg,Entire home/apt,120,2,1,1,0
Bedford Stuyvesant Urban Hang Suite,Diavanna,Brooklyn,Bedford-Stuyvesant,Entire home/apt,155,3,227,1,244
Charming Prime Williamsburg 2 bedroom Entire home,Kristen & Corey,Brooklyn,Williamsburg,Entire home/apt,165,2,80,1,188
"VERY BIG, BEDROOM/ PRIVATE BATHROOM.",Maxime,Manhattan,Harlem,Private room,60,2,125,4,167
1 min to Bedford Ave (L) Station,Matthew,Brooklyn,Williamsburg,Entire home/apt,190,3,10,2,0
Bright and Spacious West Village Studio,Adam,Manhattan,West Village,Entire home/apt,150,5,3,1,0
Luxury 1 Bedroom Upper West,Olivier,Manhattan,Upper West Side,Entire home/apt,150,30,18,2,135
Sunny Apartment in Clinton Hill,Keiko & Ilya,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,4,26,1,10
Cozy w/amazing city views by PS1,Harry,Queens,Long Island City,Private room,349,1,26,2,365
Jupiter Suites- Rm #2- (JFK),Enyinne,Queens,St. Albans,Private room,59,1,14,5,359
SHARED STUDIO AT MANHATTAN'S HEART BY C. PARK,Rocio,Manhattan,Theater District,Shared room,99,2,62,1,21
"Jupiter Suites, Rm #3- (JFK)",Enyinne,Queens,St. Albans,Private room,59,1,32,5,359
Dope Williamsburg Apartment,Ange,Brooklyn,Williamsburg,Private room,110,3,23,1,159
Be my Guest! Cozy East Village apt!,Karen,Manhattan,East Village,Private room,73,12,11,1,21
"Fun LES 1br, close to everything!",Ana,Manhattan,Chinatown,Entire home/apt,179,3,201,1,256
Cozy Twin for the NYC Win! [Gay/LGBT Friendly],Daveyjoe!,Queens,Sunnyside,Private room,102,5,8,1,0
BLYN BROWNSTONE CORZY CORNER in NYC,Majar,Brooklyn,Bushwick,Private room,62,3,95,8,338
Gorgeous Apt. 20 min to Manhattan!,Rickey,Queens,Astoria,Entire home/apt,140,2,13,1,0
Spacious Midtown 1BR Apt - 4.5 Stars/21 Reviews,Buke,Manhattan,Midtown,Entire home/apt,300,15,6,2,98
Spacious Sunny SoHo-Awesome Locale!,Steven,Manhattan,Nolita,Entire home/apt,299,2,26,1,88
1 bedroom in heart of Fort Greene,Tessa,Brooklyn,Clinton Hill,Entire home/apt,104,12,11,1,15
"Prime Chelsea Location,Washer/Dryer",Michael,Manhattan,Chelsea,Entire home/apt,98,120,38,19,290
"Spacious, quiet room with private full bathroom.",Gil,Manhattan,Lower East Side,Private room,49,1,90,1,0
"Great Chelsea Location, Couch/2nd bed, Free WiFi",Michael,Manhattan,Chelsea,Entire home/apt,96,115,45,19,210
Sunny Private Room in Williamsburg,Nicole,Brooklyn,Williamsburg,Private room,80,3,130,1,0
Master Bedroom in Modern Loft Apt.,Brian,Brooklyn,Crown Heights,Private room,89,3,147,1,362
Huge rm in 1500sq ft loft w/lots ,Daren,Manhattan,Lower East Side,Private room,125,1,1,1,364
Charming BK Townhouse Home by Highland Park!,Megan,Brooklyn,Cypress Hills,Entire home/apt,345,2,78,1,185
Peaceful Studio in Fort Greene,Mark,Brooklyn,Fort Greene,Entire home/apt,150,3,17,1,0
"Private room in cozy Harlem, NY Apt",Michelle,Manhattan,Harlem,Private room,100,2,15,2,326
1 bed aprt best location in NewYork,Lucie,Manhattan,Lower East Side,Entire home/apt,120,5,9,1,0
All New Bohemian Chic 1BR Loft,Vida,Brooklyn,Greenpoint,Entire home/apt,149,30,9,52,343
2BR Sunlight & Secret Garden Apartment,Sam,Brooklyn,Crown Heights,Entire home/apt,145,4,18,1,0
New york Multi-unit building,Justin,Manhattan,Financial District,Entire home/apt,390,3,1,1,0
Private Bed & Bath in a townhouse:Charm-Calm-Cozy-,Martine,Bronx,Port Morris,Private room,60,21,19,2,178
Charming Brwnstn Duplex sleeps 5,Molly,Brooklyn,Park Slope,Entire home/apt,190,3,17,1,167
West Village/SoHo Prvt Rm,Abby,Manhattan,SoHo,Private room,80,3,51,3,276
small room in bedstuy P,Randy,Brooklyn,Bedford-Stuyvesant,Private room,55,1,162,15,334
Huge Loft In South Williamsburg,Moses,Brooklyn,Williamsburg,Entire home/apt,275,2,195,1,331
Private Huge 2br Williamsburg Artist Apartment!,Rebecca,Brooklyn,Williamsburg,Entire home/apt,250,1,87,1,272
New York City Historical Brownstone Ground Floor,Naima,Manhattan,Harlem,Entire home/apt,100,2,271,2,270
Gorgeous apartment by Grand Central,Tilia,Manhattan,Murray Hill,Entire home/apt,600,4,7,1,0
"Private, quiet Antique room on first floor duplex",Irene,Brooklyn,Sunset Park,Private room,66,2,4,1,365
Best location in Brooklyn!,Lisa,Brooklyn,Park Slope,Private room,65,7,58,2,333
Garden Rowhouse Duplex-2 bd/3 bth,Omar,Manhattan,East Harlem,Entire home/apt,220,4,60,1,332
"Rare large modern garden studio, comfy; location!",Jason,Manhattan,Upper East Side,Entire home/apt,159,2,114,1,46
Private room in 2 bedroom apartment,Tov,Brooklyn,Williamsburg,Private room,70,2,31,2,20
Private fits 3 ppl. Prospect Park ,Natasha,Brooklyn,Prospect-Lefferts Gardens,Private room,49,5,84,3,296
Huge Room with View in Bushwick!,Jordan,Brooklyn,Bushwick,Private room,47,5,21,1,56
Designer Space For Families:  2 Bed | 2 Bath,Kiki,Manhattan,Lower East Side,Entire home/apt,299,1,200,4,100
Bright Studio Apt on Prospect Park,Jon,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,79,7,19,1,0
"Garden Apartment, Ft. Greene",Lee,Brooklyn,Fort Greene,Entire home/apt,115,4,12,1,0
"AMAZING, HUGE NEW YORK LOFT!",Habib,Brooklyn,Clinton Hill,Entire home/apt,229,3,38,1,364
Relax at our duplex + backyard,Romi,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,5,3,1,0
Beautiful Lower East Side Penthouse,Jonathan,Manhattan,Greenwich Village,Entire home/apt,1100,2,17,2,364
Art Dealer's One of a Kind Williamsburg Aptartment,Angelo,Brooklyn,Williamsburg,Entire home/apt,165,4,10,1,49
Elegant modern 1-bedroom in Bed-Stuy,Jenn,Brooklyn,Bedford-Stuyvesant,Entire home/apt,67,6,10,1,0
BedStuy with a View,Cat,Brooklyn,Bedford-Stuyvesant,Private room,68,3,52,3,72
McSimon's | Queen Room | 10 mins from JFK,Cynthia And Froebel,Brooklyn,Canarsie,Private room,85,3,1,2,132
HUGE 2BR+1BA Apt For Group Only 15 Min To NYCity,Jullien,Brooklyn,Bedford-Stuyvesant,Entire home/apt,170,3,134,3,209
"modern, convenient safe Midwood, Brooklyn",Charlotte & Aaron,Brooklyn,Midwood,Private room,95,3,46,3,86
Private Room in Brooklyn Brownstone,Ivey,Brooklyn,Bedford-Stuyvesant,Private room,45,3,2,1,0
Simply brooklyn. Bedroom with office off L train.,Amanda,Brooklyn,Williamsburg,Private room,178,2,2,1,0
CHELSEA BROWNSTONE 1BRM GARDEN APT ,Tabita,Manhattan,Chelsea,Entire home/apt,140,5,50,1,328
Huge 1 Bedroom Loft at Habitat 101!,Vida,Brooklyn,Greenpoint,Entire home/apt,149,30,7,52,281
Stuyvesant Heights Townhouse,Tee,Brooklyn,Bedford-Stuyvesant,Entire home/apt,89,3,86,1,223
Sunny 1-Bedroom Apartment: Astoria,Milena,Queens,Astoria,Entire home/apt,108,4,3,1,0
NYC apartment! Bright and spacious!,Victoria,Manhattan,Washington Heights,Entire home/apt,138,7,14,1,13
Perfect Temporary Brooklyn Home,Andrea,Brooklyn,Crown Heights,Entire home/apt,115,2,121,1,39
Comfy Couch in a nice and safe apt!!,Ari,Manhattan,East Harlem,Shared room,69,1,136,4,103
A Lovely 2br in Chelsea,Nikhil,Manhattan,West Village,Entire home/apt,269,2,68,1,311
Boutique Williamsburg Duplex Apartment,Will And Jo,Brooklyn,Williamsburg,Entire home/apt,160,30,13,2,252
2bd in heart of Soho/Little Italy!,Manuel,Manhattan,SoHo,Entire home/apt,150,1,2,1,207
Charming Central Park Studio: Summer Park Strolls!,Mari,Manhattan,Upper West Side,Entire home/apt,121,7,76,1,151
Sunny Spacious Dwelling,Kris,Brooklyn,Flatbush,Entire home/apt,95,7,22,1,20
Great  studio with 2 rooms and kitchen,Alex,Brooklyn,Sheepshead Bay,Entire home/apt,99,3,66,5,365
Cozy,Leonice,Brooklyn,Prospect Heights,Private room,40,1,73,1,65
"EV, Hippest East Village",Stephanie,Manhattan,East Village,Private room,89,28,23,3,125
New Listing!  Terrific Price.,Valerie,Brooklyn,Greenpoint,Private room,50,2,11,2,157
nice room in bedstuy L,Randy,Brooklyn,Bedford-Stuyvesant,Private room,55,1,126,15,343
"Sunny, pretty Park Slope 3+ bed apt",Brennan,Brooklyn,South Slope,Entire home/apt,224,2,229,1,257
One Bedroom in Astoria NY,Malik,Queens,Ditmars Steinway,Entire home/apt,120,2,2,1,0
(1) CLEAN HOME AWAY FROM HOME!,Terri,Queens,Flushing,Private room,59,1,116,2,0
Beautiful Studio in Heart of Harlem,Brinton,Manhattan,Harlem,Entire home/apt,135,31,177,4,340
Nexus of the Universe!,Tommy,Manhattan,Lower East Side,Entire home/apt,175,3,105,1,274
Single family home 2 bedrooms  2 bathrooms,Jessica,Queens,Long Island City,Entire home/apt,250,3,184,1,84
East Village New Luxury Bldg - 1BR,Anna,Manhattan,East Village,Entire home/apt,156,2,31,1,3
Gorgeous & Spacious Full 1 BR Apt,Alisha,Brooklyn,Bedford-Stuyvesant,Entire home/apt,75,2,36,1,0
Quiet Large 1BR Near Columbia,Kevin,Manhattan,Morningside Heights,Entire home/apt,79,5,9,1,0
Entire Modern Studio Apartment/Prime Location,Karen,Manhattan,Upper West Side,Entire home/apt,104,30,27,8,137
Airy Designer Loft in Williamsburg,Andrew And Stine,Brooklyn,Williamsburg,Entire home/apt,280,1,124,1,359
Cozy Room in Best Downtown NYC Location,Madeleine,Manhattan,Nolita,Private room,80,4,131,1,34
Studio in South Williamsburg,Bertte,Brooklyn,Williamsburg,Entire home/apt,136,30,50,1,0
"NYC LARGE 3 BR West Side Manhattan, New York City",Matthew,Manhattan,Upper West Side,Entire home/apt,550,4,17,1,201
Ditmas Park Carriage House Loft,Jed,Brooklyn,Flatbush,Entire home/apt,190,2,95,2,349
SPECIAL OFFER* 1BDR IN EAST VILLAGE,Shervin,Manhattan,East Village,Entire home/apt,199,2,29,1,361
"NEW YORK,  Queens    ""  WELCOME  "" ",Jorge,Queens,Woodside,Private room,75,2,25,1,365
Private room - Heart of East Village,Alexandre,Manhattan,East Village,Private room,100,1,212,1,278
COZY STUDIO,Drica 2017,Manhattan,Upper West Side,Entire home/apt,125,1,15,1,362
Entire Floor of Brooklyn Brownstone,Julie,Brooklyn,Bushwick,Private room,75,2,12,1,0
Private room in Harlem gem with fab New Yorkers!,Steph,Manhattan,Harlem,Private room,99,2,30,1,24
"Huge, Sunny Greenpoint Flat",Eric,Brooklyn,Greenpoint,Private room,35,30,5,1,97
Nice private room in Astoria,Beatrix,Queens,Long Island City,Private room,51,1,165,1,361
★★★★★- Lux Astoria |❤of NYC| Near subway/Manhattan,Ryan,Queens,Ditmars Steinway,Entire home/apt,188,2,260,1,312
1-bedroom APT SoHo / NoLITa,Stephan,Manhattan,NoHo,Entire home/apt,90,7,2,1,0
Modern Design in Sunny Duplex,Am,Brooklyn,Crown Heights,Entire home/apt,279,3,9,1,0
West Village 2 br 850 sf - right by the Hudson!,Raj,Manhattan,West Village,Entire home/apt,350,4,9,1,13
Private room and bathroom,William,Manhattan,East Harlem,Private room,125,2,59,1,360
"Safe upscale room, Flatbush, Brooklyn, near subway",Charlotte & Aaron,Brooklyn,Midwood,Private room,85,4,38,3,81
Private Room With Patio In Queens,Macit,Queens,Maspeth,Private room,48,20,33,2,297
Private Bedroom in QUEENS,Macit,Queens,Maspeth,Private room,56,28,14,2,310
SALE- SUNNY MASTER BEDROOM NEAR MANHATTAN,C S,Brooklyn,Flatbush,Private room,84,2,68,3,362
Beautiful Brownstone in West Harlem,Wendy,Manhattan,Harlem,Entire home/apt,155,1,123,2,170
Luxury Gramercy Lg 1Bd w Balcony,Erin,Manhattan,Gramercy,Entire home/apt,250,365,0,1,365
Large 2 BR Loft Downtown NY,Ernesto,Manhattan,Chinatown,Entire home/apt,300,5,31,1,278
Hip Apartment in Williamsburg,Kate,Brooklyn,Williamsburg,Entire home/apt,140,1,1,1,0
Private: The Brass Room,Thomas,Manhattan,Upper East Side,Private room,120,7,19,2,245
Sunlit apartment in Williamsburg,Jae,Brooklyn,Williamsburg,Entire home/apt,99,2,198,2,89
Designer Home in Village Center,Stephen,Manhattan,Greenwich Village,Entire home/apt,240,7,19,1,158
Gorgeous charming Manhattan 1bdrm Alexa Smart Home,Stephen,Manhattan,Washington Heights,Entire home/apt,72,7,27,1,73
"Close to the city, Astoria",Rosemary,Queens,Astoria,Private room,45,4,68,1,0
Staten Island Apartment - 2nd floor,Mary,Staten Island,Port Richmond,Entire home/apt,250,30,1,3,0
Room in heart of the West Village!,Wes,Manhattan,West Village,Private room,100,2,48,1,78
SUNNY STUDIO MIDTOWN EAST W/DOORMAN,Maria,Manhattan,Midtown,Entire home/apt,175,5,116,1,299
1Br apt + backyard -east village,Tanya,Manhattan,East Village,Entire home/apt,200,5,10,1,0
"Jupiter Suites, Rm #4 w/Bthrm-(JFK)",Enyinne,Queens,St. Albans,Private room,59,1,8,5,359
"Cozy, QUIET Dream Home in SEAPORT",Chandler,Manhattan,Financial District,Entire home/apt,420,2,285,1,294
Private room with stunning view,Bernardo & Andressa,Brooklyn,Williamsburg,Private room,120,3,142,1,37
Spacious and modern Chelsea loft,Jon,Manhattan,Chelsea,Entire home/apt,295,30,3,1,235
Williamsburg 2BR 2BA Hotel Condo,Shana,Brooklyn,Williamsburg,Entire home/apt,200,120,12,1,306
The Heart of Bushwick!,Joseph,Brooklyn,Bushwick,Private room,48,7,61,1,0
CENTRAL PARK/ TIMES SQUARE,Rodrigo,Manhattan,Hell's Kitchen,Entire home/apt,99,2,55,1,182
Sunny Studio Loft @ Habitat 101,Vida,Brooklyn,Greenpoint,Entire home/apt,129,30,8,52,344
PRIME apartment in East Village!,Chara,Manhattan,East Village,Entire home/apt,160,2,44,2,0
"Cute, quirky Park Slope Jr 1 bdroom",Randy,Brooklyn,Park Slope,Entire home/apt,142,4,41,1,151
Charming Room in Astoria!!,Marinez,Queens,Astoria,Private room,120,3,12,2,365
,Peter,Manhattan,Battery Park City,Entire home/apt,400,1000,0,1,362
Modern Clean 1 Bedroom apt  in Clinton Hill,Sara,Brooklyn,Clinton Hill,Entire home/apt,130,7,26,1,182
Great Artistic Studio in Historic Building,Pavel,Manhattan,Harlem,Shared room,85,3,38,1,157
Rooftop Oasis in Brooklyn for Shoots & Gigs,Stephanie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,600,1,48,1,89
Only 10 mins to CENTRAL PARK! :),Chikie,Manhattan,Harlem,Private room,69,5,152,2,110
Charming studio in Williamsburg,Karlee,Brooklyn,Williamsburg,Entire home/apt,150,3,1,1,0
Large furnished 2 bedrooms- - 30 days Minimum,Sally,Manhattan,East Village,Entire home/apt,10,30,0,4,137
An artist place in Bedstuy,Bahiyyah,Brooklyn,Bedford-Stuyvesant,Private room,87,1,4,1,12
Enormous Chrysler-View Bedroom/Bath,Dn,Manhattan,Midtown,Private room,249,3,1,2,87
"Bushwick Biodome Loft, Fun & Unique, Great View!",Nathan,Brooklyn,Williamsburg,Private room,65,4,142,1,115
A Tree Grows in Brooklyn,Marlyn,Brooklyn,Canarsie,Entire home/apt,175,3,158,1,317
Stylish Room on Express Line to Midtown,Shane,Manhattan,Washington Heights,Private room,79,5,112,3,1
Private Room in Designer's NYC Apt,Andrew,Manhattan,SoHo,Private room,194,2,141,2,340
1 bedroom apartment in NYC,Matthew,Manhattan,Lower East Side,Entire home/apt,150,3,19,1,9
Bohemian W'Burg Duplex,Malcolm,Brooklyn,Williamsburg,Entire home/apt,241,2,1,1,0
NYC Harlem cozy private room,Tia,Manhattan,Harlem,Private room,80,1,73,1,309
Smart Family 1BD Retreat in Bedstuy,Zaire,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,4,72,1,284
Cosy studio in great location at  UES,Agnes,Manhattan,Upper East Side,Entire home/apt,155,4,13,1,0
Cute studio apt in West Village,Adam,Manhattan,West Village,Entire home/apt,150,7,40,1,0
One bedroom apartment - UES,Natalie,Manhattan,Upper East Side,Entire home/apt,140,6,36,1,71
Large Spacious Apt For Sublet,ELouise,Brooklyn,East Flatbush,Entire home/apt,90,1,5,1,361
"Quaint, beautiful studio Brooklyn",Rachel,Brooklyn,Carroll Gardens,Entire home/apt,150,3,94,3,250
Lovely Brownstone-- Close to Subway,Nehprii,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,2,127,1,354
Park Slope 1BR with Private Outdoor Space,Sean,Brooklyn,Park Slope,Entire home/apt,140,2,45,1,31
Truly A Sweet Home away from Home.,Ravanna,Brooklyn,Bedford-Stuyvesant,Entire home/apt,130,3,220,2,0
"Private Entrance/Bath, 2 story Apt.",Ruth,Manhattan,Upper East Side,Private room,150,2,121,1,225
Cozy 1.5BD in Parkslope Brooklyn,Lisa,Brooklyn,South Slope,Entire home/apt,115,3,185,1,163
Beautiful Home Away From Home!,Ravanna,Brooklyn,Bedford-Stuyvesant,Entire home/apt,130,3,229,2,259
1 BR apt in heart of the Village,Caspar,Manhattan,Greenwich Village,Entire home/apt,380,6,29,1,365
"Bright, Cheerful Brooklyn Apartment",Kali,Brooklyn,Williamsburg,Entire home/apt,115,20,1,1,0
GRACIOUS HARLEM 1 BEDROOM,Olubode Shawn,Manhattan,Morningside Heights,Entire home/apt,125,2,21,1,363
Spacious room in Bushwick L & JMZ !,Rebecca,Brooklyn,Bushwick,Private room,65,5,1,1,169
"Cozy Apartment, 30 min train ride to Times Square!",Augusto M Gallardo,Queens,Jackson Heights,Entire home/apt,110,9,11,1,362
Amazing Spacious Room,Lord Daniel,Brooklyn,Bedford-Stuyvesant,Private room,31,6,41,3,55
Large Charming 1 BR + Den  in  Brownstone Apt,Shean,Brooklyn,Bedford-Stuyvesant,Entire home/apt,135,3,173,2,277
"West Village: Cozy, Quiet 1BR Apt",Billy,Manhattan,West Village,Entire home/apt,200,3,20,1,0
Cozy room in bed-stuy,Robb,Brooklyn,Bedford-Stuyvesant,Private room,212,3,1,3,109
Brooklyn Wildlife Loft rm 2,Chris,Brooklyn,Williamsburg,Shared room,40,1,34,3,75
GREAT BRAND NEW 1 BED! TIMES SQ!!!!,Lior,Manhattan,Hell's Kitchen,Entire home/apt,80,30,12,7,365
COZY GARDEN APT IN BKLYN BROWNSTONE,Shelley,Brooklyn,Flatbush,Entire home/apt,95,2,147,3,275
Gorgeous NewModern_BestLocation!NYC,Host,Manhattan,Hell's Kitchen,Entire home/apt,185,30,7,39,347
Art House Suite,@ Art House Monique,Brooklyn,Bedford-Stuyvesant,Entire home/apt,100,1,59,4,165
"4BD, 2 Bath Apt Flatiron on 6th Ave",Steven,Manhattan,Flatiron District,Entire home/apt,1200,1,0,1,0
Habitat 101. Amazing 1br Loft Apartment,Vida,Brooklyn,Greenpoint,Entire home/apt,149,30,9,52,341
West Village townhouse private suite incl bath,Ann,Manhattan,West Village,Private room,139,1,203,2,32
Sunny 1bd - Near SOHO Washington SQ,Molly,Manhattan,Greenwich Village,Entire home/apt,226,3,25,1,80
Classic Brownstone private suite,Elizabeth,Brooklyn,Bedford-Stuyvesant,Entire home/apt,74,2,189,2,131
Luxury & Charm.  Steps from Christopher Park!,Jonathan,Manhattan,West Village,Entire home/apt,195,5,52,1,0
Close to trains! Special long-term rates!!,Danielle,Brooklyn,East Flatbush,Entire home/apt,104,59,48,1,122
2000 SQ FT Spacious Artist Loft in SOHO,Tanya,Manhattan,SoHo,Entire home/apt,275,2,6,1,5
Great Views on Upper West Side,Rebecca,Manhattan,Upper West Side,Private room,310,4,12,1,358
apartment in heart of East Village ,Julia,Manhattan,East Village,Entire home/apt,145,29,3,1,35
"3rd FL, Private Suite w Own Bath & Study Area",Lynn,Staten Island,Shore Acres,Entire home/apt,75,3,19,1,258
Quiet Williamsburg apartment,Jae,Brooklyn,Williamsburg,Entire home/apt,99,2,201,2,106
Beautiful Modern Midtown Apartment,Carlos,Manhattan,Hell's Kitchen,Entire home/apt,250,6,79,1,137
Large Studio w/ Entertainment Room!,Karen,Manhattan,Upper West Side,Entire home/apt,104,30,24,8,57
Union Square area 1BD Apartment,Pat,Manhattan,Gramercy,Entire home/apt,250,5,5,1,358
New**Beauty**W50's_Luxury&BALCONY!!,Host,Manhattan,Hell's Kitchen,Entire home/apt,150,30,18,39,340
NEW_2BR_PrivateRoof&CityView_Beauty,Host,Manhattan,Hell's Kitchen,Entire home/apt,195,30,17,39,333
NEW_Duplex_BreathtakingViews_Beauty,Host,Manhattan,Hell's Kitchen,Entire home/apt,350,30,14,39,327
Comfortable Room + Kitty + Food,Charles,Brooklyn,Williamsburg,Private room,75,1,23,1,0
Charming LG Bedroom by Park & Train,Jenny,Brooklyn,Prospect-Lefferts Gardens,Private room,80,31,28,1,167
Sunny Spacious Retro 1 Bedroom,Mel,Brooklyn,Bedford-Stuyvesant,Entire home/apt,96,2,14,1,50
Big Studio Apt Convenient Gramercy,Elizabeth,Manhattan,Kips Bay,Entire home/apt,200,1,0,1,0
Private room in  MANHATTAN NYC,Facundo Martin /Teresa,Manhattan,East Harlem,Private room,90,3,139,1,293
Beautiful Cozy Room Great Price!,Rocio & James,Queens,Astoria,Private room,79,1,274,3,308
Clean room near Columbia Univ,Zee,Manhattan,Morningside Heights,Private room,220,1,0,1,365
Landmark Loft in Williamsburg Brooklyn 1 month min,Sabina Giovanna,Brooklyn,Williamsburg,Entire home/apt,224,31,14,1,219
Arverne By The Bay Private Room & Bathroom,Christopher,Queens,Arverne,Private room,35,2,201,2,88
